authorName
A. Bertram Chandler
Aatish Taseer
Agatha Christie
Al Lacy
Alafair Burke
Alan Dean Foster
Alan Furst
Alan Lightman
Alexander Kent
Alfred Duggan
Alisa Valdes-Rodriguez
Andrea Camilleri
Andrew Gross
Andrew Martin
Andrew Savoy
Andrew Shaffer
André Gide
Anita Diamant
Ann Aguirre
Anna Catherine Emmerich
Anne D. Bernstein
Anne McCaffrey
Anne Perry
Anthony Burgess
Anthony Ryan
Arthur Conan Doyle
Arthur W. Upfield
Asia Mackay
Avery Corman
Ayi Kwei Armah
Barbara Hambly
Barbara Taylor Bradford
Batya Gur
Belinda Williams
Ben Elton
Bernard Cornwell
Beth Bosworth
Beth Corby
Betina Krahn
Boris Leonidovich Pasternak
Boris Vian
Brenda Hiatt
Brett Halliday
Brian Lumley
Brian W. Aldiss
Caitlin Brennan
Camilo José Cela
Campbell Armstrong
Carlos Ruiz Zafon
Carol Umberger
Carson McCullers
Cassie Edwards
Catherine Coulter
Ceridwen Dovey
Charles Bukowski
Charles Hulse
Charles M. Sheldon
Charles McCarry
Charles Sheffield
Charles Stross
Charles Williams
Charlie Higson
Charlotte MacLeod
Christianna Brand
Christina Dodd
Christopher Isherwood
Cindi Myers
Claire Calman
Clifford D. Simak
Clive Barker
Conrad Allen
Corban Addison
Corinne Michaels
Cormac McCarthy
Cristina García
Daisy Goodwin
Dan Vyleta
Danielle Steel
Dave Duncan
David Anthony Durham
David Baldacci
David Drake
David G. Hartwell
David Gemmell
David Poyer
David Schulman
David Szalay
David Williams
Dean Koontz
Debbie Macomber
Deborah Bernstein
Debra Clopton
Denis Johnson
DiAnn Mills
Diane Carey
Diane Chamberlain
Donald Goines
Donald Richie
Donna VanLiere
Donna Woolfolk Cross
Dorothy L. Sayers
Dorothy Leigh Sayers
Doug Niles
Douglas Reeman
E.E. Doc Smith
E.J. Copperman
Eden Robinson
Edgar Allan Poe
Edmund White
Edward L. Beach
Edward Rutherfurd
Eiji Yoshikawa
Elaine Viets
Elizabeth Chadwick
Elmore Leonard
Eloisa James
Emily Barton
Emily Brightwell
Emily Giffin
Emily Ruskovich
Enrico Brizzi
Eric Ambler
Erle Stanley Gardner
Ernest J. Gaines
Ethan Mordden
Euripides
Fanny Burney
Fern Michaels
Forrest Carter
Frances Fyfield
Francine Rivers
Frank Peretti
G. A. Henty
G. K. Chesterton
Gabriel Cohen
Garrison Keillor
Garth Stein
Gautam Malkani
Gene Stratton-Porter
Geoffrey Moorhouse
George P. Pelecanos
George Shipway
George.R. Stewart
Georges Bataille
Georgette Heyer
Gerard Williams
Gilbert Morris
Grace Livingston Hill
Gregg Hurwitz
Gustave Flaubert
H.P. Lovecraft
Hallie Ephron
Hammond Innes
Haruki Murakami
Heather Rose
Henry Kisor
Henry Miller
Herman Melville
Hilary Mantel
Holly Lisle
Honoré de Balzac
Hope Tarr
Ian McEwan
Imbolo Mbue
Ira Levin
Irwin Shaw
Isabel Colegate
Italo Calvino
Ivan Doig
J M Hayes
J.D. Salinger
Jaci Burton
Jack Higgins
Jack Kerouac
Jack Whyte
Jack Womack
Jacob and Wilhelm Grimm
Jacqueline Sheehan
Jamaica Kincaid
James Alan McPherson
James Clavell
James Fenimore Cooper
James Hadley Chase
James Luceno
James P. Othmer
Jane Haddam
Jane Porter
Janette Oke
Jean Plaidy
Jean-Claude Carrière
Jean-Patrick Manchette
Jennifer Blake
Jennifer Johnston
Jill Shalvis
Jim Butcher
Jim Thompson
Jiří Weil
Joan Johnston
Jocelyn Nicole Johnson
Johanna Lindsey
John Barnes
John Berger
John Cowper Powys
John D. MacDonald
John Edward Lawson
John Fowles
John Gardner
John Hersey
John Irving
John Lawton
John Norman
John P. Marquand
John Saul
John Steinbeck
Jonathan Evison
Jonathan Safran Foer
Jorge Icaza
Joseph Conrad
Joy Kogawa
Juan Rulfo
Judith Krantz
Jules Feiffer
Julian Stockwin
K. C. Constantine
Karen Maitland
Karin Slaughter
Kate Kingsbury
Katherine Pancol
Katherine Valentine
Kathryn Caskie
Kathryn Shay
Kay Hooper
Kelley Armstrong
Kinley MacGregor
Kresley Cole
Kristan Higgins
Kukrit Pramoj
Kurt Vonnegut
Laura Kinsale
Lauren Belfer
Lauren Owen
Laurence Klavan
Laurie Bogart Morrow
Laurie Colwin
Laurien Berenson
Lawana Blackwell
Lawrence Block
Lee Child
Leslie Lafoy
Lewis Carroll
Lewis Spence
Libby Street
Lilian Jackson Braun
Lily Tuck
Linda Howard
Linda Lael Miller
Lindsay Clarke
Lisa Alther
Lisa Carey
Lisa Jackson
Lori Foster
Lori Wick
Louis Bayard
Louis LAmour
Louis de Bernieres
Louise M. Gouge
