Title,synopsis,coverImg,yearPublished,infoLink,avgRating,authorId,publisherId,genreId
Nostromo: A tale of the seaboard,Reproduction of the original: Nostromo: A Tale of the Seaboard by Joseph Conrad,http://books.google.com/books/content?id=jORvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2018,http://books.google.com/books?id=jORvDwAAQBAJ&dq=Nostromo:+A+tale+of+the+seaboard&hl=&source=gbs_api,0,212,34,6
Alice's adventures in Wonderland and Through the looking glass,"All the ""muchness"" of Wonderland captured in one book! Follow Alice down the rabbit hole to Wonderland and enjoy tea with the Mad Hatter, find your way with the Cheshire Cat, and play croquet with the Queen of Hearts. On the other side of the looking-glass, meet Tweedledee and Tweedledum, the White Queen, and a host of other characters that share a different reality.",http://books.google.com/books/content?id=didZDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2016,https://play.google.com/store/books/details?id=didZDwAAQBAJ&source=gbs_api,0,254,164,3
Bride of a Stranger,"Claire is too innocent to suspect that her marriage is a cruel farce, believing instead that the dangerous accidents that keep appearing in her path are just that--accidents. She wedded Justin Leroux suddenly and silently. He was the tall dark stranger of her girlhood dreams, and had finally come to take her away. She returns with him to Sans Songe, the Leroux family plantation in Louisiana. A near-fatal accident on the road to the plantation does not bode well for her future there. And indeed, many nasty surprises await her at the plantation itself. Voodoo magic, poisoned food, and a murder mystery force Claire into a stalemate. She is helpless within the bosom of her frigid and isolating new family, while her husband has yet to come to her bed. He may even be hoping for her destruction, as she is drawn into an ever more tangled web of passion and intrigue. In a harsh world where love means danger, Claire struggles just to survive.",http://books.google.com/books/content?id=IV4wtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,http://books.google.com/books?id=IV4wtAEACAAJ&dq=Bride+of+a+Stranger&hl=&source=gbs_api,0,189,65,8
Yonder,"Max Raymond, a weak Christian saxophonist, is the only thing that stands between the evil and murderous depradations of Man Mortimer, a gambler and killer, and the inhabitants of a small lake community near Vicksburg. By the author of Geronimo Rex. Reprint.",http://books.google.com/books/content?id=xJ4CtHDRB5sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2002,http://books.google.nl/books?id=xJ4CtHDRB5sC&dq=Yonder&hl=&source=gbs_api,0,37,82,8
Rushing to Paradise: A Novel,J.G. Ballard – author of Crash and Empire of the Sun – explores the extremes of ecology and feminism in this highly acclaimed modern fable.,http://books.google.com/books/content?id=PdzpymgAM-AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2012,https://play.google.com/store/books/details?id=PdzpymgAM-AC&source=gbs_api,0,162,91,6
The military philosophers ([His The music of time]),"Anthony Powell’s universally acclaimed epic A Dance to the Music of Time offers a matchless panorama of twentieth-century London. Now, for the first time in decades, readers in the United States can read the books of Dance as they were originally published—as twelve individual novels—but with a twenty-first-century twist: they’re available only as e-books. The ninth volume, The Military Philosophers (1968), takes the series through the end of the war. Nick has found a place, reasonably tolerable by army standards, as an assistant liaison with foreign governments in exile. But like the rest of his countrymen, he is weary of life in uniform and looking ahead to peacetime. Until then, however, the fortunes of war continue to be unpredictable: more names are cruelly added to the bill of mortality, while other old friends and foes prosper. Widmerpool becomes dangerously entranced by the beautiful, fascinating, and vicious Pamela Flitton; and Nick’s old flame Jean Duport makes a surprising reappearance. Elegiac and moving, but never without wit and perception, this volume wraps up Powell’s unsurpassed treatment of England’s finest yet most costly hour. ""Anthony Powell is the best living English novelist by far. His admirers are addicts, let us face it, held in thrall by a magician.""--Chicago Tribune ""A book which creates a world and explores it in depth, which ponders changing relationships and values, which creates brilliantly living and diverse characters and then watches them grow and change in their milieu. . . . Powell's world is as large and as complex as Proust's.""--Elizabeth Janeway, New York Times ""One of the most important works of fiction since the Second World War. . . . The novel looked, as it began, something like a comedy of manners; then, for a while, like a tragedy of manners; now like a vastly entertaining, deeply melancholy, yet somehow courageous statement about human experience.""--Naomi Bliven, New Yorker “The most brilliant and penetrating novelist we have.”--Kingsley Amis",http://books.google.com/books/content?id=seUuj443nkwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2010,https://play.google.com/store/books/details?id=seUuj443nkwC&source=gbs_api,0,29,184,6
Deliverance Drive,"“You're hooked, you feel every cut, grope up every cliff, swallow water with every spill of the canoe, sweat with every draw of the bowstring. Wholly absorbing [and] dramatic.”—Harper's Magazine The setting is the Georgia wilderness, where the states most remote white-water river awaits. In the thundering froth of that river, in its echoing stone canyons, four men on a canoe trip discover a freedom and exhilaration beyond compare. And then, in a moment of horror, the adventure turns into a struggle for survival as one man becomes a human hunter who is offered his own harrowing deliverance. Praise for Deliverance “Once read, never forgotten.”—Newport News Daily Press “A tour de force . . . How a man acts when shot by an arrow, what it feels like to scale a cliff or to capsize, the ironic psychology of fear: these things are conveyed with remarkable descriptive writing.”—The New Republic “Freshly and intensely alive . . . with questions that haunt modern urban man.”—Southern Review “A fine and honest book that hits the reader's mind with the sting of a baseball just caught in the hand.”—The Nation “[James Dickey's] language has descriptive power not often matched in contemporary American writing.”—Time “A harrowing trip few readers will forget.”—Asheville Citizen-Times ""A novel that will curl your toes . . . Dickey's canoe rides to the limits of dramatic tension.""—New York Times Book Review ""A brilliant and breathtaking adventure.""—The New Yorker",http://books.google.com/books/content?id=PDcO5mSaYzwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2008,http://books.google.com/books?id=PDcO5mSaYzwC&dq=Deliverance+Drive&hl=&source=gbs_api,0,172,60,0
Night And Day,"The daughter of a literary household of means, Katherine Hilbery has distanced herself from romantic entanglements in favour of a life of intellectual pursuits. Mary Datchet, the daughter of a country vicar, has chosen to focus her attentions on supporting the suffrage movement. But when confronted with offers of marriage from unlikely suitors, both women must determine whether or not there is room for love in the lives they have chosen to lead. One of Virginia Woolf’s earliest novels, Night and Day examines each woman’s thoughts on love, marriage, and personal fulfillment in Edwardian England.",http://books.google.com/books/content?id=y9bODgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2016,http://books.google.com/books?id=y9bODgAAQBAJ&dq=Night+And+Day&hl=&source=gbs_api,0,440,105,6
Vermilion (An Alyson Mystery),"A dead young hustler is found with a lipstick-smeared handkerchief on the lawn of a queer-baiting legislator. Enter unlikely detectives Daniel Valentine and Clarissa Lovelace who discover links with some very kinky and deadly games as they trawl the sinister underworld of bars and baths, bondage and blackmail, in their search for the killer. Nathan Aldyne is a pseudonym used by Michael McDowell - the screenwriter of 'Beetlejuice' - and Dennis Schuetz.",http://books.google.com/books/content?id=uqJ_PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1997,http://books.google.nl/books?id=uqJ_PwAACAAJ&dq=Vermilion+(An+Alyson+Mystery)&hl=&source=gbs_api,0,309,4,8
A Perfect Life,"NEW YORK TIMES BESTSELLER From Danielle Steel comes a heartwarming and inspirational novel about a mother and daughter who face challenges, cope with celebrity, and overcome tragedy while maintaining the outward appearance of . . . A PERFECT LIFE The epitome of intelligence, high-powered energy, and grace, Blaise McCarthy is an icon in the world of television news, asking the tough questions and taking on the emotionally charged issues of world affairs and politics with courage and insight. A single mother, she manages her well-ordered career meticulously, always prepared on the air or interviewing world-renowned figures and heads of state. To her audience, Blaise seems to have it all. But privately, and off the set, there is another untold story she has kept hidden for years. Blaise’s teenage daughter, Salima, was blinded by Type 1 diabetes in childhood, and her needs have kept her away in a year-round boarding school with full-time medical care and assistance ever since. When Salima’s school closes after a tragedy, Salima returns to her mother’s New York City apartment, and suddenly they face challenges they’ve never had to deal with before, and that Blaise feels ill-equipped to handle. A new caretaker provided by Salima’s school creates as many problems as he solves. Handsome, accomplished, thirty-two-year-old Simon Ward, with strong opinions on every topic, questions how mother and daughter view themselves and each other. Simon opens new doors for both of them and refuses to accept Salima’s physical limitations. He turns their world upside down, and the three become friends. Then everything starts to unravel and Blaise can’t keep her two worlds separate anymore. A beautiful young anchorwoman is hired at the network; it is no secret that she is being groomed to take Blaise’s place. Her career as she has known it is threatened, and her previously well-ordered life feels totally out of control. For the first time, Blaise’s life is not perfect, but real. In this unforgettable tale, the incomparable Danielle Steel has written a novel that pulsates with emotion and honesty as three people face the truth about themselves. A Perfect Life is about what we do when facades fall away and we can no longer run from the truth. As old ideas fail, everything changes, and life is suddenly brand-new. Praise for A Perfect Life “A classic Steel story, with a mother and daughter keeping up appearances as they overcome tragedy and learn a thing or two about themselves.”—Library Journal “It’s the lessons learned by the mother-daughter duo about love, loyalty and family that bring them closer together than ever before in Steel’s latest heartwarming page-turner.”—Closer Weekly",http://books.google.com/books/content?id=Y2ehAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2014,https://play.google.com/store/books/details?id=Y2ehAgAAQBAJ&source=gbs_api,0,77,57,1
