Title,profileName,rating,review
Alice's adventures in Wonderland and Through the looking glass,A Customer,5,"Find some children anywhere you can and read this book to them! I say this for your pleasure at least as much as theirs. Reading it out loud will be one of the delightful experiences of your life. Did I say ""reading?"" I should have said ""performing,"" because you will not be able to resist acting it out. Let yourself go--you will be a child again, yet still appreciate the book's adult insights.There is so much to say about this classic. It captures the psychology of a girl on the verge of growing up; it is full of jokes that appear absurd, but are fiendishly clever; it somehow avoids anything old-fashioned or politically incorrect; and absolutely all the characters are loveable, no matter how hard they try not to be.Carroll was an unhappy, aging man, yet he understood children to a spooky degree. While I smiled mildly at some of the humor, my children rolled around on the floor laughing.Here is an interesting phenomenon: When I read it as a child, I didn't particularly warm to it. When my children tried to read it on their own, they gave up. But the group experience of reading it out loud was a joy for all.Do I need to describe the plot? Could I if I tried? Alice may or may not be dreaming when she follows a rabbit down into his hole and enters a world where the simplest actions are strange and complicated. In her effort to explore this world and ultimately return home, nothing fits right, nothing seems to follow through properly, and no one she meets is sane. Alice, though a little girl, is given plenty of opportunities to be the rational, mature, assertive person of action.Everyone I discuss this book with, and I mean everyone, shudders and raises the issue of Carroll's alleged improprieties. They are invisible in the book, but to put your mind at ease, you may want to check out the judicious biography by Morton N. Cohen.The particular edition of Alice in Wonderland that I am reviewing, published by Grosset, is especially pleasant for reading out loud, with comfortable print, and Tenniel's essential illustrations."
Night And Day,A Customer,1,a complete wast of time and money a complete waste of time and money. the entire 7 chapters i read were nothing more than a long series of so and so said with a few so and so nodded thrown in. i never thought i woud come across the written word that would discourage reading. this is it
The Other Side Of Midnight,Avid Reader,5,"This book may never have won the Pultizer Prize or be labeled the best book of all time like Ulyssess - but its everything most of us want when we spend precious time on a book - it captivates from the moment you pick it up and read about beautiful Noelle and brilliant Katherine. It has everything - great characters, mystery, love, sex, killer ending, twists and turns. It has life of the rich and famous, a bit of life in Nazi France and outsmarting the Nazis. All in all - it entertains to the utmost. I listened to the audio - and had to keep driving around until I could get myself to stop long enough to park the car and get out. Loved it and can't wait to read/listen to the sequel."
Last Precinct,A Customer,3,"This book was better than the last few Scarpetta books were. It starts by reviewing the occurences at the end of the previous Scarpetta book BLACK NOTICE. So if you haven't read that one, you should before you proceed, or a lot of what happens won't make sense. Kay moves in temporarily with her friend Anna, who has secrets also (not really germaine to the story, but neither are big chunks of the book). There is a lot of psychological analyzing going on in this book, which leaves little room for any action. Some of it helps the plot, some of it doesn't.After moving in with Anna, Lucy and Teun and Marcino all get together to help Kay understand her current predicaments. A proscuter from New York gets dragged in as well. There are many little bombs dropped here and there about characters and events; in part , that is what kept me reading, to find out how it all made sense. In the end, lots of points here and there really didn't further the story at all. They were placed just to keep you guessing.I think this book could have used some better editing.BUT, having said all that, I am looking forward to the next installment. I want to know less about Kay and Lucy (the poster child for lesbian wondergirls) and more about Marcino and Rocky. That would be an interesting relationship to get feedback on. Without Benton, Marcino is one of more interesting characters in book. Let's here about what makes him tick, what made him the person he is.Just as an aside, my favorite Mystery series are those by Elizabeth George feature Lynley and Havers (and Simon and Helen and Deborah). That series leaves me begging for more. Go read them if you want to read a literary mystery series without a whining lead character."
Lover's Talisman,Avid Reader,5,Exiting new author Ashleigh Raine from the Publisher Ellora's Cave has a new novel for those lovers of supernatural paranormal bent... Shadow Walkers of Talisman Bay protect the inhabitants from demons werewolves vampires. Thrilling and Exciting this is a delicious novel that will make your toes curl and with some creepy character hunky heroes all added to the mix.Worth buying this gem and its a collector
The Fellowship of the Ring,A Customer,4,"This is a great book, but i think it is the most flawed of the series. The first hundred pages drag badly. Even once the team gets going, things are slow until after the big conference in elf land. Despite the start, the book moves on into some of the best, genre-creating work by the end. If you want to know why 10 million people play WoW, this is the series that started it all."
Maggie's Hope,A Customer,5,"Maggie's Hope is a great summer read, specially on the beach! Reading about these robust, hearty women dealing with and overcoming hardships that we can relate to even in modern times, has given me hope that life today ain't all that bad considering the 'good old days'. There are some good characters I loved to hate but I won't say more... Too bad it isn't a paperback, but it's still worth the money."
The Intelligencer,Avid Reader,2,"Based on the reviews, I thought this book would be an interesting read. The premise certainly sounded interesting. A dash of The DaVinci Code and a bit of The Eight, but this book doesn't come close to being as good as those it's compared to. I found the main charcter to be over the top and predictable, her storyline not even interesting. The flashbacks to Christopher Marlowe and Elizabethan England had the potential to be interesting, but just fall flat. I couldn't even force myself to finish this boring novel."
Oceans Apart,A Customer,5,wow this was a wonderful story. it made me cry and smile at the same time. i truly believe what max said you can not love unless you forgive.
"Something To Kill For: When It Comes To Garage Sales, Finding A Treasure Can Be Murder...",Avid Reader,4,"I picked this up at the library the other day, expecting a little story to pass the time. Instead I was rewarded with a little gem of a mystery centered around...yard sales. Mrs. Avid Reader says it is truly amazing what you can learn by reading and I have to agree. I thought yard sales were for broken down couches, old tools, 10-year old shirts and gifts from Aunt Erma. Apparently though, depending on the ""socio-economic"" class of the neighborhood it is possible to find a diamond in the rough.In this case, one of the yard sale buyers / antique dealers found something worth killing over and the only clue is her dying last word, JAP. Of course there is an Oriental lady with a husband (professor, who else?) who dislikes policemen viscerally. There are the playboys, those who collect Art Deco (our heroine), modern, Oriental or eclectic. Directing the investigation is Lt. Karl Genesco, former professional NFL star with the Steelers. Anneke is a software developer (semi-realistic descriptions) who does work for the police. The two meet, fall for each other and solve the crime. Nothing complex, deep or soul-searching - just a good yarn about Ann Arbor and the people who live there."
